Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
United States,55,male,Doctoral degree,Engineering,Not employed,Full-stack developer,0-2 years,9-11 years,Very satisfied,Very dissatisfied,22,Sometimes,Poor
Australia,55,female,Doctoral degree,Information systems,Not employed,Other,12+ years,Not applicable,Very satisfied,Very dissatisfied,61,Rarely,Good
Brazil,45,male,Bachelors degree,Information systems,Self-employed,Front-end developer,12+ years,Not applicable,Slightly dissatisfied,Very dissatisfied,60,Rarely,Excellent
United Kingdom,29,other,Secondary school,Information systems,Employed part-time,Other,9-11 years,12+ years,Slightly dissatisfied,Slightly satisfied,50,Most of the time,Good
India,38,male,Doctoral degree,Engineering,Employed full-time,Other,3-5 years,9-11 years,Very dissatisfied,Slightly dissatisfied,37,Rarely,Good
Brazil,22,male,Doctoral degree,Engineering,Self-employed,Other,3-5 years,6-8 years,Very dissatisfied,Very dissatisfied,53,Full-time remote,Good
Brazil,33,male,Doctoral degree,Other,Self-employed,Front-end developer,9-11 years,9-11 years,Very satisfied,Slightly satisfied,31,Full-time remote,Fair
France,32,female,Bachelors degree,Information systems,Employed part-time,Data scientist,12+ years,0-2 years,Very satisfied,Slightly dissatisfied,75,Never,Excellent
Brazil,56,other,Secondary school,Engineering,Not employed,Other,9-11 years,Not applicable,Very dissatisfied,Slightly dissatisfied,48,Sometimes,Poor
Canada,32,female,Secondary school,Mathematics,Employed full-time,Other,12+ years,6-8 years,Very satisfied,Very dissatisfied,44,Most of the time,Good
United States,62,male,Masters degree,Computer science,Employed part-time,Full-stack developer,0-2 years,3-5 years,Slightly satisfied,Slightly satisfied,23,Sometimes,Good
Netherlands,58,male,Secondary school,Mathematics,Employed part-time,Other,6-8 years,6-8 years,Very dissatisfied,Very satisfied,71,Never,Good
France,54,female,Masters degree,Other,Student,Data scientist,6-8 years,Not applicable,Slightly satisfied,Slightly dissatisfied,59,Never,Good
Germany,26,male,Masters degree,Engineering,Student,Front-end developer,0-2 years,0-2 years,Slightly dissatisfied,Very dissatisfied,34,Full-time remote,Excellent
United States,50,male,Masters degree,Mathematics,Employed part-time,Full-stack developer,6-8 years,12+ years,Slightly dissatisfied,Slightly dissatisfied,32,Never,Excellent
United Kingdom,40,male,Bachelors degree,Mathematics,Student,Back-end developer,9-11 years,Not applicable,Very dissatisfied,Slightly satisfied,24,Most of the time,Good
Germany,58,male,Bachelors degree,Engineering,Self-employed,Full-stack developer,3-5 years,3-5 years,Slightly dissatisfied,Very dissatisfied,32,Full-time remote,Fair
